sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
MEMHTB30180Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M30 X 180MM (BOX 5),Catalog, Search,1,2.5,no,memhtb30180z,1000
MEMHTB840Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M8 X 40MM (BOX 200),Catalog, Search,1,2.5,no,memhtb840z,1000
MEMHTB865Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M8 X 65MM (BOX 100),Catalog, Search,1,2.5,no,memhtb865z,1000
MEMNYNP10Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/NYLON NUTS",base,TYPE P NYLON INSERT NUT ZP M10 (BOX 200),Catalog, Search,1,2.5,no,memnynp10z,1000
MEMNYNP24Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/NYLON NUTS",base,TYPE P NYLON INSERT NUT ZP M24 (BOX 25),Catalog, Search,1,2.5,no,memnynp24z,1000
MEMWAA14Z,FRANCISKIRK,simple,"WASHERS/TYPE A WASHER",base,TYPE A WASHER BRIGHT ZP 14MM (BOX 100),Catalog, Search,1,2.5,no,memwaa14z,1000
MEMWAA24Z,FRANCISKIRK,simple,"WASHERS/TYPE A WASHER",base,TYPE A WASHER BRIGHT ZP 24MM (BOX 50),Catalog, Search,1,2.5,no,memwaa24z,1000
MEMWAR1238Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 12MM X 38 X 1.50 (BOX 100),Catalog, Search,1,2.5,no,memwar1238z,1000
MEMWAR625Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 6MM X 25 X 1.50 (BOX 100),Catalog, Search,1,2.5,no,memwar625z,1000
MEMWAR825Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 8MM X 25 X 1.50 (BOX 100),Catalog, Search,1,2.5,no,memwar825z,1000
