sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
MEMCAP1030Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP2065,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 65MM (BOX 25),"Catalog, Search",1
MEMCAP24100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 100MM (BOX 10),"Catalog, Search",1
MEMCAP30200,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 200MM (SINGLE),"Catalog, Search",1
MEMCAP520Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP540Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 40MM (BOX 200),"Catalog, Search",1
MEMCAP620,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP630Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 45MM (BOX 200),"Catalog, Search",1
MEMCAP68Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 8MM (BOX 200),"Catalog, Search",1
MEMCAP820,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP830Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP845,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 45MM (BOX 200),"Catalog, Search",1
MEMCAP12100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 100MM (BOX 50),"Catalog, Search",1
MEMCAP880Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 80MM (BOX 100),"Catalog, Search",1
MEMFN20Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M20 (BOX 50),"Catalog, Search",1
MEMFN8Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M8 (BOX 100),"Catalog, Search",1
MEMHTB10130Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 130MM (BOX 50),"Catalog, Search",1
MEMHTB1045Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 45MM (BOX 100),"Catalog, Search",1
MEMHTB1070Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 70MM (BOX 50),"Catalog, Search",1
MEMHTB12110Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 110MM (BOX 50),"Catalog, Search",1
MEMHTB12160Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 160MM (BOX 25),"Catalog, Search",1
MEMHTB1245Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 45MM (BOX 100),"Catalog, Search",1
MEMCAP2025Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 25MM (BOX 200),"Catalog, Search",1
MEMCAP860Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 60MM (BOX 100),"Catalog, Search",1
MEMHTB1260Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 60MM (BOX 50),"Catalog, Search",1
MEMCAP2470,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 70MM (BOX 10),"Catalog, Search",1
MEMHTB1280Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 80MM (BOX 50),"Catalog, Search",1
MEMHTB1450Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M14 X 50MM (BOX 50),"Catalog, Search",1
MEMHTB16120Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 120MM (BOX 25),"Catalog, Search",1
