sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"RSLTPBPCP20M",TOOLBANK,"PATIO & BLOCK PAVING CLEANER SACHETS 2 X 20ML","PATIO & BLOCK PAVING CLEANER SACHETS 2 X 20ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/BRICK & STONE TREATMENT",1,11.58,11.58,1,https://franciskirk.shop/var/import/images/RSLTPBPCP20M.jpg
"RSLTTWPBL25L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER BLACK 2.5 LITRE","TRADE TOTAL WOOD PRESERVER BLACK 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,34.75,34.75,1,https://franciskirk.shop/var/import/images/RSLTTWPBL25L.jpg
"RSLTTWPBL5L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER BLACK 5 LITRE","TRADE TOTAL WOOD PRESERVER BLACK 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,57.2,57.2,1,https://franciskirk.shop/var/import/images/RSLTTWPBL5L.jpg
"RSLTTWPCL25L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER CLEAR 2.5 LITRE","TRADE TOTAL WOOD PRESERVER CLEAR 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,34.75,34.75,1,https://franciskirk.shop/var/import/images/RSLTTWPCL25L.jpg
"RSLTTWPCL5L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER CLEAR 5 LITRE","TRADE TOTAL WOOD PRESERVER CLEAR 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,57.2,57.2,1,https://franciskirk.shop/var/import/images/RSLTTWPCL5L.jpg
"RSLTTWPDB25L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER DARK BROWN 2.5 LITRE","TRADE TOTAL WOOD PRESERVER DARK BROWN 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,34.75,34.75,1,https://franciskirk.shop/var/import/images/RSLTTWPDB25L.jpg
"RSLTTWPDB5L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER DARK BROWN 5 LITRE","TRADE TOTAL WOOD PRESERVER DARK BROWN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,57.2,57.2,1,https://franciskirk.shop/var/import/images/RSLTTWPDB5L.jpg
"RSLTTWPGR25L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER GREEN 2.5 LITRE","TRADE TOTAL WOOD PRESERVER GREEN 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,34.75,34.75,1,https://franciskirk.shop/var/import/images/RSLTTWPGR25L.jpg
"RSLTTWPGR5L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER GREEN 5 LITRE","TRADE TOTAL WOOD PRESERVER GREEN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,57.2,57.2,1,https://franciskirk.shop/var/import/images/RSLTTWPGR5L.jpg
"RSLTTWPLB25L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER LIGHT BROWN 2.5 LITRE","TRADE TOTAL WOOD PRESERVER LIGHT BROWN 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,34.75,34.75,1,https://franciskirk.shop/var/import/images/RSLTTWPLB25L.jpg
"RSLTTWPLB5L",TOOLBANK,"TRADE TOTAL WOOD PRESERVER LIGHT BROWN 5 LITRE","TRADE TOTAL WOOD PRESERVER LIGHT BROWN 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,57.2,57.2,1,https://franciskirk.shop/var/import/images/RSLTTWPLB5L.jpg
"RSLUDODO25L",TOOLBANK,"ULTIMATE DECKING OIL DARK OAK 2.5 LITRE","ULTIMATE DECKING OIL DARK OAK 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/DECKING OILS STAINS, PAINTS & CLEANING",1,48.5,48.5,1,https://franciskirk.shop/var/import/images/RSLUDODO25L.jpg
"RSLUDODO5L",TOOLBANK,"ULTIMATE PROTECTION DECKING OIL DARK OAK 5 LITRE","ULTIMATE PROTECTION DECKING OIL DARK OAK 5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/DECKING OILS STAINS, PAINTS & CLEANING",1,79.25,79.25,1,https://franciskirk.shop/var/import/images/RSLUDODO5L.jpg
"RSLUDON25L",TOOLBANK,"ULTIMATE DECKING OIL NATURAL 2.5 LITRE","ULTIMATE DECKING OIL NATURAL 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/DECKING OILS STAINS, PAINTS & CLEANING",1,48.5,48.5,1,https://franciskirk.shop/var/import/images/RSLUDON25L.jpg
