Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
PRI6618,PRI6618,TOOLBANK,66 NAIL PUNCH 1/8IN,66 NAIL PUNCH 1/8IN,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,1.86,4.65,1,1,PRIORY,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/PRI66116.jpg",,,,
STR565D,STR565D,TOOLBANK,565D PIN PUNCH 4MM (5/32IN),565D PIN PUNCH 4MM (5/32IN),,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,2.98,7.45,1,1,STARRETT,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STR565B.jpg",,,,
QMA1116,QMA1116,TOOLBANK,SHEET METAL PUNCH 11/16IN,SHEET METAL PUNCH 11/16IN,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,5.96,14.9,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA1.jpg",,,,
QMA225M,QMA225M,TOOLBANK,SHEET METAL PUNCH 22.5MM,SHEET METAL PUNCH 22.5MM,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,6.79,16.98,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA1.jpg",,,,
PRIN12,PRIN12,TOOLBANK,180- 12.0MM SET OF NUMBER PUNCHES 1/2IN,180- 12.0MM SET OF NUMBER PUNCHES 1/2IN,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,26.78,66.95,1,1,PRIORY,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/PRIN116.jpg",,,,
QMA186M,QMA186M,TOOLBANK,SHEET METAL PUNCH 18.6MM,SHEET METAL PUNCH 18.6MM,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,6.28,15.7,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA1.jpg",,,,
QMA19M,QMA19M,TOOLBANK,SHEET METAL PUNCH 19MM,SHEET METAL PUNCH 19MM,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,6.28,15.7,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA1.jpg",,,,
QMASQ254,QMASQ254,TOOLBANK,SQUARE SHEET METAL PUNCH 25.4MM,SQUARE SHEET METAL PUNCH 25.4MM,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,46.12,115.3,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMASQ1.jpg",,,,
QMASQ34,QMASQ34,TOOLBANK,SQUARE SHEET METAL PUNCH 3/4IN,SQUARE SHEET METAL PUNCH 3/4IN,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,44.05,110.13,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMASQ1.jpg",,,,
QMA118,QMA118,TOOLBANK,SHEET METAL PUNCH 1 1/8IN,SHEET METAL PUNCH 1 1/8IN,,,,,,TOOLS,HAND TOOLS,ENGINEERING TOOLS,PUNCHES,1,7.55,18.88,1,1,Q.MAX,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/QMA1.jpg",,,,
