sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter,,
NNP12FZ,,,,,,,,,,,,,,,,,,,,,12.28,0.12,,,,,
NNT916FZ,,,,,,,,,,,,,,,,,,,,,24.9,0.25,,,,,
NNT58FZ,,,,,,,,,,,,,,,,,,,,,21.03,0.21,,,,,
NNT34FZ,,,,,,,,,,,,,,,,,,,,,36.75,0.37,,,,,
NNT78FZ,,,,,,,,,,,,,,,,,,,,,81.63,0.82,,,,,
NNP14CZ,,,,,,,,,,,,,,,,,,,,,4.78,0.05,,,,,
NNP516CZ,,,,,,,,,,,,,,,,,,,,,5.25,0.05,,,,,
NNP38CZ,,,,,,,,,,,,,,,,,,,,,11.45,0.11,,,,,
NNP12CZ,,,,,,,,,,,,,,,,,,,,,23.88,0.24,,,,,
NNP58CZ,,,,,,,,,,,,,,,,,,,,,51.55,0.52,,,,,
NNP34CZ,,,,,,,,,,,,,,,,,,,,,69.2,0.69,,,,,
NNP78CZ,,,,,,,,,,,,,,,,,,,,,151.3,1.51,,,,,
NNP1CZ,,,,,,,,,,,,,,,,,,,,,252,2.52,,,,,
NNP114FZ,,,,,,,,,,,,,,,,,,,,,324.08,3.24,,,,,
NNP118FZ,,,,,,,,,,,,,,,,,,,,,100.6,1.01,,,,,
NNT114FZ,,,,,,,,,,,,,,,,,,,,,223.85,2.24,,,,,
NNP112CZ,,,,,,,,,,,,,,,,,,,,,695.88,6.96,,,,,
NNP134CZ,,,,,,,,,,,,,,,,,,,,,849.55,8.5,,,,,
NNT3MZ,,,,,,,,,,,,,,,,,,,,,0.98,0.01,,,,,
NNT4MZ,,,,,,,,,,,,,,,,,,,,,1.63,0.02,,,,,
NNT5MZ,,,,,,,,,,,,,,,,,,,,,1.8,0.02,,,,,
