sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FAIHC2SSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2XB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC2XSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC3B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC3SSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC3XB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC4B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC4XB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC5B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC6B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC6XB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC75B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC7B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC85B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHC95B,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCMOOB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCMOOSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOOB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOOOB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOOOSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOOSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOOWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOXB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOXSSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIHCOXWSB,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAIP48118TH,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIP481516,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIPINKEY,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FAIRH48118,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
